Title,Author_URL,Author_Name,App_Version,Rating,Review,Date,comment_text,target
Problem,https://itunes.apple.com/az/reviews/id472645602,Nadir Askerov,1.16.2,1,"Qeydiyyatdan keçmişem. Normal işleyirdi. Amma çıxış edib yeniden daxil olmaq istedim “istifadeçi adı ve parol yanlıştı” yazır. Hansı ki, bunları ezberden bilirim. Bir neçe telefonda da yoxladıq, eyni xetanı yazdın. Sizden xahiş bu problemi aradan qaldırın.",2019-09-11T10:14:26Z,"Problem Qeydiyyatdan keçmişem. Normal işleyirdi. Amma çıxış edib yeniden daxil olmaq istedim “istifadeçi adı ve parol yanlıştı” yazır. Hansı ki, bunları ezberden bilirim. Bir neçe telefonda da yoxladıq, eyni xetanı yazdın. Sizden xahiş bu problemi aradan qaldırın.",1
Funksionallıq aşağıdır,https://itunes.apple.com/az/reviews/id571372972,bir kart mağduru,1.16.2,1,"Heç nə anlaşılan deyil, medaxil, mexaric, ödənilməli cari borcu görmək olmur. 
Bir kartın çox fırıldaqları var. Olmayan yerdən görürsən ki faiz borcu hesablanır, ödənişlər hesaba gec oturur, gecikmə düşür və s.",2019-09-06T12:31:41Z,"Funksionallıq aşağıdır Heç nə anlaşılan deyil, medaxil, mexaric, ödənilməli cari borcu görmək olmur. 
Bir kartın çox fırıldaqları var. Olmayan yerdən görürsən ki faiz borcu hesablanır, ödənişlər hesaba gec oturur, gecikmə düşür və s.",1
Useful app,https://itunes.apple.com/az/reviews/id1046532264,abya17,1.16.0,5,"Very good application , like it and recommend to everyone",2019-08-04T12:58:19Z,"Useful app Very good application , like it and recommend to everyone",0
Serverle elaqe qurmaq mumkun olmadi,https://itunes.apple.com/az/reviews/id393787268,Huseyn_109,1.15.1,1,Qeydiyyatdan kecmek mumkun deyil qeydiyyatda olarkende proqrama girmek olmur nazasliqi arada qaldirin zehmet olmasa,2019-07-20T14:08:13Z,Serverle elaqe qurmaq mumkun olmadi Qeydiyyatdan kecmek mumkun deyil qeydiyyatda olarkende proqrama girmek olmur nazasliqi arada qaldirin zehmet olmasa,1
Cox keyfiyyetsiz praqramdi,https://itunes.apple.com/az/reviews/id725454266,Elesgerov061,1.15.1,1,Pulumu cixiblar odeniw oturmayib cox keyfiyyetsiz praqramdi yuklemeye deymez 13 gun yalandan gozduyun deyirler hec ne de deyiwilk olmur yalandan gozdediller pulu wotdan cixib odeniwi yerine yetirmiller,2019-07-19T08:19:19Z,Cox keyfiyyetsiz praqramdi Pulumu cixiblar odeniw oturmayib cox keyfiyyetsiz praqramdi yuklemeye deymez 13 gun yalandan gozduyun deyirler hec ne de deyiwilk olmur yalandan gozdediller pulu wotdan cixib odeniwi yerine yetirmiller,1
Gadabey f BirBank 👍,https://itunes.apple.com/az/reviews/id726795752,290290290Aa,1.15.1,5,1 Bank ucun tesekkurler,2019-06-22T05:27:43Z,Gadabey f BirBank 👍 1 Bank ucun tesekkurler,0
Siz Azərbaycan bankısız,https://itunes.apple.com/az/reviews/id305171215,Rusisho,1.15.0,1,Siz Azərbaycan bankısız niyə yenilənmə haqda məlumatları ingiliscə yazırsız?,2019-06-18T09:55:08Z,Siz Azərbaycan bankısız Siz Azərbaycan bankısız niyə yenilənmə haqda məlumatları ingiliscə yazırsız?,1
Error,https://itunes.apple.com/az/reviews/id1034166584,bxhsjskdksdk,1.14.1,1,Zibil kimi 1gun isleyende 5 gun islemir,2019-06-13T10:00:32Z,Error Zibil kimi 1gun isleyende 5 gun islemir,1
😯,https://itunes.apple.com/az/reviews/id639022063,Kenan 795,1.14.1,4,Son vaxtlar yaxsi islemir,2019-06-04T07:59:58Z,😯 Son vaxtlar yaxsi islemir,0
xəta,https://itunes.apple.com/az/reviews/id1029278689,turan83,1.14.1,1,tez tez 101 xətası çıxır. digər bankların mobil proqram təminatlarına nisbətən istifadə daha çətindir və onlar qədər sürətli deyil. menyu qarışıqdır.,2019-06-03T16:15:46Z,xəta tez tez 101 xətası çıxır. digər bankların mobil proqram təminatlarına nisbətən istifadə daha çətindir və onlar qədər sürətli deyil. menyu qarışıqdır.,1
