title,rating
Rusiya Qərbdən borc götürəcək,0
Dollar ucuzlaşır,0
"Everestdə buzlaq əridi, itkin alpinistlərin meyitləri aşkarlandı",1
Maduro Trampı oğurluqda ittiham etdi,0
Qazaxıstanda paytaxtın yeni adına görə kütləvi dava,0
Los-Ancelesdə UFO həyəcanı – VİDEO,0
Əfqanıstanda Novruz şənliyində terror: Ölən və yaralılar var - YENİLƏNİB,1
Nəhəng dalğa turisti havaya uçurdu - VİDEO,0
Yeni Zelandiyada avtomatların satışı qadağan olundu,0
Türkmənistan blokada elan etdi: Tacikistan Azərbaycana üz tutdu,0
Qazaxlar etiraz edirlər - Astananın adı dəyişdirilməsin,0
Təyyarə qasırğa zamanı “asfaltda batdı” - VİDEO,1
Rusiyalılardan Balidə film kimi cinayət - iki ölü,1
Qazaxıstan parlamenti Astananın Nursultan adlandırılmasına səs verdi,1
Türkiyədə güclü zəlzələ oldu,1
Yeni prezident Astananı Nursultan adlandırmağı təklif etdi,1
Səmada yaranan qorxunc “dəlik” insanları həyəcanlandırdı - VİDEO,0
İranda göyərtəsində sərnişinlər olan təyyarə yanıb,1
Təyyarədə qadın üstündə əlbəyaxa dava düşdü - VİDEO,1
Bədəninə meyvə suyu yeridən qadın ölümdən döndü,1
Nazarbayev istefa verdi - VİDEO,0
Ərdoğan: Ölüm cəzasını bərpa etməyə hazırıq,0
Yaponiyada uşaqlara əl qaldırmaq qadağan olunacaq,0
Dünyanın ən bahalı və ən ucuz şəhərləri məlum oldu,1
ABŞ-ın strateji hərbi bazası su altında qaldı – FOTO,0
Çinli cərrah xəstədən 3000 kilometr məsafədə beyin əməliyyatı keçirdi - VİDEO,0
Putin Ərdoğanı Krıma dəvət edib,0
Polislər etiraz aksiyasında göz yaşı tökdülər - VİDEO,0
Niderlandda terror törədən şəxs türk çıxdı - FOTO/VİDEO,1
Gürcüstanlı deputatlar əlbəyaxa dava etdilər - VİDEO,0
Parisin son iğtişaşlardan sonrakı görüntüləri - FOTO,0
"Niderlandda terror həyəcanı, ölən var - VİDEO",1
Ərdoğan: İstanbul heç vaxt Konstantinopol olmayacaq,0
Yeni Zelandiyada silahla bağlı qanuna dəyişiklik olunacaq,0
Poçt göyərçini fantastik qiymətə satıldı - FOTO,1
